관리기관명,소재지지번주소,설치년월,보관일수,카메라대수,경도,소재지도로명주소,위도,설치목적구분,촬영방면정보,데이터기준일자,카메라화소수,관리기관전화번호
대구광역시 북구청 공원녹지과,"대구광역시 북구 침산동 810-1, 경상여자고등학교 옥상",,30,1,128.587866,대구광역시 북구 침산남로9길 164 경상여자고등학교 옥상,35.899915,재난재해,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,"대구광역시 북구 조야동 산5, 망일봉 정상",,30,1,128.583178,대구광역시 북구,35.925256,재난재해,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,"대구광역시 북구 노곡동 산 1-3, 함지산정상",,30,1,128.5697,대구광역시 북구,35.924843,재난재해,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,대구광역시 북구 국우동 1051번지,,30,1,128.583003,대구광역시 북구,35.957244,재난재해,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,"대구광역시 북구 금호동 산 104-10번지, 금호철탑",,30,1,128.52377,대구광역시 북구,35.894768,재난재해,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,"대구광역시 북구 구암동 638-1, 함지산등산로입구",,30,1,128.562912,대구광역시 북구,35.930174,재난재해,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,"대구광역시 북구 침산동 1347, 침산공원내 물놀이장",,30,1,128.585248,대구광역시 북구,35.894871,시설물관리,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,,,30,1,128.544624,"대구광역시 북구 영송로68, 태전공원내 벽천폭포",35.931403,시설물관리,,2018-06-30,200,053-665-4481
대구광역시 북구청 공원녹지과,,,30,1,128.599264,"대구광역시 북구 연암공원로13길 8, 연암공원내 물놀이장",35.896767,시설물관리,,2018-06-30,200,053-665-4481
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
