구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
중부서,서성R,공평R,양측,1200,22:00,7:00,,,,,
중부서,종각R,공평R,양측,310,22:00,7:00,,,,,
중부서,삼덕 4R,동인 4R,양측,945,21:00,6:50,,,,,
중부서,계산 5거리,서성 4거리,양측,200,23:00,7:00,,,,,
중부서,서성 4거리,태평 4거리,양측,615,23:00,7:00,,,,,
중부서,반고개 네거리,계산 오거리,양측,1350,22:00,7:00,,,,,
중부서,계산 오거리,봉산 육거리,양측,1040,23:00,6:00,,,,,
중부서,봉산육거리,수성교 서편,양측,630,23:00,6:00,,,,,
중부서,중구 남산동661-49,남산동653-5,편측,130,"12:00, 22:00","14:00, 07:00",,,,,1.4톤조업화물차량 15분내 항시허용
중부서,중구 남산동 2108-10,남산동924-31,편측,800,"12:00, 22:00","14:00, 07:00",,,,,1.4톤조업화물차량 15분내 항시허용
중부서,중구 남산동 343,남산동 651-18국민은행,양측,1300,"12:00, 22:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차,30인초과승합차(1.4톤이하조업화물차량 15분내항시허용)"
중부서,중구 명덕로 204 배정동 내과,명덕로 250 예전방,양측,950,"12:00, 21:00","14:00, 07:00",,,,,"1.4톤초과화물차,30인초과승합차(1.4톤이하조업화물차량15분내항시허용)"
중부서,중구 이천로 170 경주화랑,이천로 244,양측,1520,"12:00, 22:00","14:00, 07:00",,,,,"1.4톤초과화물차,30인초과승합차(1.4톤이하조업화물차량15분내항시허용)"
중부서,중구 달성로 76,달성네거리 남동편 교각 26-P24 (남→북),편측,560,"11:00, 22:00","15:00, 07:00",,,,,"1.4톤초과화물차,15인초과승합차(1.5톤이하조업화물차량15분내항시허용)"
중부서,중구 달성로 111-1(명문서예), 달성로 77(로얄 타일도기) 360m(북→남),편측,360,"11:00, 22:00","15:00, 07:00",,,,,"1.4톤초과화물차,15인초과승합차(1.5톤이하조업화물차량15분내항시허용)"
동부서,신암동 공고네거리,파티마 삼거리 교차로 ,양측,1000,22:00,6:50,,,,,
동부서,입석 4R 동편,동촌4R,양측,810,20:30,6:50,,,,,
동부서,동촌 4R,동촌 초등 3R,양측,720,20:30,6:50,,,,,
동부서,동촌초등 3R,용계 3R,양측,2210,20:30,6:50,20:30,6:50,0:00,0:00," 1.5톤초과화물,30인초과승합차"
동부서,큰고개 5R,입석 4R,양측,1150,22:00,7:00,,,,,
동부서,중대동 화성그린,중대동 351은빛누리 식당앞,편측,800,21:00,7:00,,,,,1.5t 이상 차량
동부서,중대동 화성그린,파계사 3거리,편측,1600,21:00,7:00,,,,,1.5t 이상 차량
동부서,청구 4거리,신천 4거리,양측,770,21:00,7:00,21:00,7:00,0:00,0:00,
동부서,복현 네거리,큰고개 오거리,양측,1100,21:00,7:00,,,,, 화물 2톤 이상 차량
동부서,구신도 극장,공고 네거리,양측,750,22:00,6:50,,,,,
동부서,청구네거리,신천네거리,양측,820,21:00,7:00,,,,,
동부서,강동고 삼거리,영조아름다은나날 3단지 311동,양측,700,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.5t, 15인승 이상 차량(1.4톤 이하조업화물차량15분내 항시허용)"
동부서,동구 봉무동 1594 이시아폴리스더샾 307동 남편,이시아폴리스 더샾 301동 남편,편측,330,"09:00, 19:00","17:00, 07:00 (유턴구간 절대금지)",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 봉무동 팔공로47길,호텔이시아 남편도로,양측,280,"09:00, 19:00","17:00, 07:00 (유턴구간 절대금지)",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 팔공로 53길(봉무동1603),봉무동 1606 오퍼스 앞,양측,420,"09:00, 19:00","17:00, 07:00 (유턴구간 절대금지) ",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 신천동 601-11번지, 신천주공그린빌302동 동편,편측,90,"12:00, 20:00","14:00, 07:00",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 신천주공 그린빌302동편 건너편,북편으로 48m(501동 입구),편측,50,"12:00, 20:00","14:00, 07:00",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 동호로 34,안심로 대경넥스빌@ 105동 남편,양측,960,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 안심로 대경넥스빌 107동,영조아름다운나날 209동까지,편측,380,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 안심로 강동고교 삼거리,영조아름다운나날 101동 서편,편측,450,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 율하동로 금호강변로 공원삼거리,율하동로 55 율원초교 동편,양측,1240,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 반야월역 북편 ok 마트,경안로 816 성지어린이집,양측,1940,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 효동로 2길 25-1 산들마을,효목동1221-1번지항일독립운동기념탑건너편 세븐일레븐앞,양측,1440,"12:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 팔공로 187,팔공로 131 새마을금고 편방향,편측,560,"12:00, 21:00","14:00, 07:00",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 큰고개로 1(신암연합내과의원) 삼거리,큰고개로 320(S오일 삼거리),양측,1400,"12:00, 20:00","17:00, 07:00",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,mbc 북편 맞은편 신천동 노봉빌딩,신천동 백합맨션,편측,120,"12:00, 21:00","14:00, 07:00",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 안심로 16길 선수촌@ 201동 서편,율하동 1282(율하유치원 서편),양측,1360,"12:00, 20:00","16:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 금호강변로 선수촌@ 102동 남편,휴먼시아@1108동(남편),양측,1800,"12:00, 20:00","16:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
동부서,동구 봉무동 팔공로 더샾@301동 남편,305동 남편 ,편측,300,"09:00, 19:00","17:00, 07:00",,,,,"1.4톤초과화물차, 30인 초과 승합차(1.4톤 이하 조업화물차량15분내 항시허용)"
