행사내용,홈페이지주소,주최기관,객석수,전화번호,주차장보유여부,소재지지번주소,행사종료일자,예매정보,관람요금,주관기관,입장연령,유의사항,경도,할인정보,소재지도로명주소,행사시간,요금정보,위도,행사시작일자,행사명,후원기관,데이터기준일자,장소
행사,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-02-27,,0,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),17:00~19:00,무료,35.934767,2018-02-27,해피줌 콘서트,"(재)대구문화재단,대구문화예술회관,대구시립국악단",2018-08-21,어울아트센터 함지홀
공연,http://www.hbcf.or.kr/front/,문화체육관광부,999,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-03-28,,0,"(재)행복북구문화재단 어울아트센터, 한국문화예술회관연합회",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),12:00~13:00,무료,35.934767,2018-03-28,문화가 있는 날-모노레일&스트릿 댄스 플래시 몹,,2018-08-21,"3호선, 북구청 야외 무대"
공연,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-03-29,,0,(재)행복북구문화재단 어울아트센터,8세 이상 관람가,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~21:00,무료,35.934767,2018-03-29,신춘음악회- 그들이 있어 행복한 봄날,,2018-08-21,어울아트센터 함지홀
특강,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-04-17,,0,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),15:00~16:00,무료,35.934767,2018-04-17,<시가 전망하는 행복하거나 불행한 미래>,,2018-08-21,어울아트센터 함지홀
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-04-20,,10000원,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",8세이상 관람가능,,128.5462372,"회원 8,000원",대구광역시 북구 구암로 47(관음동),19:30~21:00,유료,35.934767,2018-04-20,행복한 동행,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,어울아트센터 함지홀
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",100,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-04-24,,,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),13:00~14:00,무료,35.934767,2018-04-24,CM심포니 오케스트라의 찾아가는 음악회1,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,칠곡경대 병원 로비
공연,http://www.hbcf.or.kr/front/,문화체육관광부,130,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-04-25,,0,"(재)행복북구문화재단 어울아트센터, 한국문화예술회관연합회",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:00~20:30,무료,35.934767,2018-04-25,"문화가 있는 날-그곳, 그노래 콘서트",,2018-08-21,칠곡향교
영화,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-05-05,,1000원,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),11:00~12:20+13:30~14:50+16:00~17:20,유료,35.934767,2018-05-05,영화 마야,,2018-08-21,어울아트센터 함지홀
행사,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,999,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-05-05,,0,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:30~17:30,무료,35.934767,2018-05-05,어린이날 큰잔치 해피투게더,,2018-08-21,어울아트센터 전역
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-05-13,,20000원,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",8세이상 관람가능,,128.5462372,"회원 14,000원",대구광역시 북구 구암로 47(관음동),19:30~21:00,유료,35.934767,2018-05-13,콘서트 오페라 춘향전,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,어울아트센터 함지홀
