공원보유시설(편익시설),관리기관명,관리번호,공원명,공원면적,전화번호,공원보유시설(유희시설),소재지지번주소,공원구분,지정고시일,경도,공원보유시설(운동시설),소재지도로명주소,위도,공원보유시설(기타시설),데이터기준일자,공원보유시설(교양시설),
,대구광역시 수성구청,27260-00025,지산공원,3315,053-666-2902,조합놀이대,대구광역시 수성구 지산1동 1013,어린이공원,1976-07-30,128.632447,,대구광역시 수성구 무학로 31길,35.820333,,2018-07-31,,
,대구광역시 수성구청,27260-00026,현대공원,2237.4,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1184-5,어린이공원,1981-06-22,128.6252836,,대구광역시 수성구 용학로 28길,35.8224894,,2018-07-31,,
,대구광역시 수성구청,27260-00027,거성공원,1643.8,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1211-2,어린이공원,1981-06-22,128.6356262,,대구광역시 수성구 용학로 44길,35.8196881,,2018-07-31,,
,대구광역시 수성구청,27260-00028,국화공원,1407.6,053-666-2902,그네,대구광역시 수성구 만촌3동 852,어린이공원,1984-12-29,128.649043,,대구광역시 수성구 달구벌대로 562길,35.867998,,2018-07-31,,
,대구광역시 수성구청,27260-00029,진달래공원,2844.9,053-666-2902,그네,대구광역시 수성구 만촌3동 862,어린이공원,1984-12-29,128.649043,,대구광역시 수성구 교학로 6길,35.867998,,2018-07-31,,
,대구광역시 수성구청,27260-00030,만촌공원,1326,053-666-2902,조합놀이대,대구광역시 수성구 만촌3동 870-13,어린이공원,1984-12-29,128.653092,,대구광역시 수성구 교학로 5길,35.85085,,2018-07-31,,
,대구광역시 수성구청,27260-00031,봉선화공원,1501.4,053-666-2902,조합놀이대,대구광역시 수성구 만촌3동 874-2,어린이공원,1984-12-29,128.650317,,대구광역시 수성구 교학로 12길,35.850604,,2018-07-31,,
,대구광역시 수성구청,27260-00032,민들레공원,1599.1,053-666-2902,미끄럼틀,대구광역시 수성구 만촌3동 882,어린이공원,1984-12-29,128.649043,,대구광역시 수성구 교학로 15길,35.867998,,2018-07-31,,
,대구광역시 수성구청,27260-00033,말뫼공원,1524,053-666-2902,조합놀이대,대구광역시 수성구 두산동 741-7,어린이공원,1984-12-29,128.626524,,대구광역시 수성구 지산로 3길,35.825407,,2018-07-31,,
,대구광역시 수성구청,27260-00034,보성공원,1714.5,053-666-2902,조합놀이대,대구광역시 수성구 범물1동 1279-3,어린이공원,1989-12-30,128.643529,,대구광역시 수성구 지범로 39길,35.821145,,2018-07-31,,
,대구광역시 수성구청,27260-00035,용지공원,1654,053-666-2902,미끄럼틀,대구광역시 수성구 범물1동 1283-2,어린이공원,1989-12-30,128.646427,,대구광역시 수성구 지범로 41길,35.82087,,2018-07-31,,
,대구광역시 수성구청,27260-00002,새마을공원,1650.9,053-666-2902,조합놀이대,대구광역시 수성구 수성3가 130-2,어린이공원,1966-11-09,128.619641,,대구광역시 수성구 들안로 60길,35.857851,,2018-07-31,,
