고성아파트,대구광역시 북구 고성북로 3 (고성동2가),고성동,1993-08-02,3,425,053-357-0171,건축주택과,2020-09-15
오페라트루엘시민의 숲,대구광역시 북구 고성북로 34 (고성동),고성동,2020-05-15,9,682,053-356-8400,건축주택과,2020-09-15
삼성아파트,대구광역시 북구 호암로 40 (칠성동2가),칠성동,1995-11-28,7,624,053-357-0559,건축주택과,2020-09-15
성광우방타운,대구광역시 북구 호암로 20 (칠성동2가),칠성동,1996-01-10,10,1010,053-357-0698,건축주택과,2020-09-15
침산1차 푸르지오,대구광역시 북구 침산로21길 23 (칠성동2가),칠성동,2005-11-28,5,1380,053-359-3890,건축주택과,2020-09-15
대구역서원프레시빌,대구광역시 북구 칠성남로 176 (칠성동2가),칠성동,2017-07-04,1,168,053-423-5511,건축주택과,2020-09-15
대구역서희스타힐스(구 칠성휴먼시아),대구광역시 북구 칠성남로 101 (칠성동2가),칠성동,2012-01-31,13,1250,053-355-7970,건축주택과,2020-09-15
오페라삼정그린코아더베스트,대구광역시 북구 침산로 100(칠성동2가),칠성동,2017-10-24,6,578,053-352-6032,건축주택과,2020-09-15
대구역유림노르웨이숲,대구광역시 북구 칠성남로26길 13,칠성동,2017-11-29,3,296,053-341-7930,건축주택과,2020-09-15
오페라코오롱하늘채,대구광역시 북구 중앙대로 540(칠성동2가),칠성동,2007-06-20,4,464,053-256-5820,건축주택과,2020-09-15
침산동화타운,대구광역시 북구 침산남로7길 50-21 (침산동),침산1동,1997-09-11,3,298,053-356-4364,건축주택과,2020-09-15
강변일성트루엘,대구광역시 북구 침산남로 215(침산동),침산2동,2014-02-24,3,323,053-253-0171,건축주택과,2020-09-15
롯데캐슬오페라,대구광역시 북구 침산남로 160 (침산동),침산2동,2005-02-18,7,439,053-359-0339,건축주택과,2020-09-15
옥석타운,대구광역시 북구 침산남로31길 11 (침산동),침산2동,1996-09-23,2,375,053-356-8064,건축주택과,2020-09-15
침산 삼정그린코아,대구광역시 북구 중앙대로 570 (침산동),침산2동,2005-09-22,2,357,053-427-7050,건축주택과,2020-09-15
침산 한라스카이빌,대구광역시 북구 침산로22길 5 (침산동),침산2동,2002-12-09,2,326,053-354-6171,건축주택과,2020-09-15
침산1차화성타운,대구광역시 북구 침산남로37길 5 (침산동),침산2동,1998-11-09,5,281,053-351-8330,건축주택과,2020-09-15
침산2차화성아파트,대구광역시 북구 침산남로37길 24 (침산동),침산2동,1999-04-24,4,488,053-353-3380,건축주택과,2020-09-15
침산건영하이츠,대구광역시 북구 침산로 158 (침산동),침산2동,2002-05-28,2,259,053-354-9185,건축주택과,2020-09-15
침산삼주아파트,대구광역시 북구 중앙대로118길 46 (침산동),침산2동,1979-08-11,2,198,053-423-0221,건축주택과,2020-09-15
침산코오롱하늘채1단지,대구광역시 북구 침산로22길 31 (침산동),침산2동,2006-05-18,5,372,053-351-5370,건축주택과,2020-09-15
침산코오롱하늘채2단지,대구광역시 북구 중앙대로 591 (침산동),침산2동,2006-05-18,12,977,053-351-5376,건축주택과,2020-09-15
침산화성파크드림,대구광역시 북구 성북로 70 (침산동),침산2동,2017-09-27,8,1202,053-353-6501,건축주택과,2020-09-15
