M병원,영업중,대구광역시 북구 팔달로 147 (노원동3가),,35.88939488,128.5661507,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,09:00~13:00,,053-359-3771,2021-07-19
근로복지공단대구병원,영업중,대구광역시 북구 학정로 515 (학정동),,35.95016043,128.564164,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,,,,,053-715-7575,2021-07-19
뉴라이프병원,영업중,대구광역시 북구 공항로 15 (복현동),,35.89833541,128.6166668,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,,053-384-9119,2021-07-19
늘시원한위대항병원,영업중,"대구광역시 북구 동북로 163 대우아파트상가 (산격동, 산격대우아파트)",대구광역시 북구 산격동 500-1 산격대우아파트 대우아파트상가,35.89952029,128.6111044,09:00~20:00,09:00~20:00,09:00~20:00,09:30~20:00,09:30~20:00,09:00~18:00,09:00~14:00,09:00~14:00,"1,2,3,4,5",053-959-7175,2021-07-19
대구병원,영업중,대구광역시 북구 칠곡중앙대로 194 (태전동),,35.91334039,128.5488456,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,,09:00~13:00,,053-311-2001,2021-07-19
대구보건대학교병원,영업중,대구광역시 북구 팔거천동로 209 (동천동),,35.94205431,128.5573475,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,,,,053-320-1900,2021-07-19
대구삼선병원,영업중,대구광역시 북구 칠곡중앙대로 448 (읍내동),,35.93560431,128.5492307,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,,,,053-326-7575,2021-07-19
대구시티병원,영업중,대구광역시 북구 동북로 270 (복현동),,35.89349153,128.6195674,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,,,,053-959-7114,2021-07-19
로즈마리병원,영업중,대구광역시 북구 팔거천동로 215 (동천동),,35.94319929,128.557854,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,09:00~13:00,09:00~13:00,"1,2,3,4,5",053-210-7777,2021-07-19
신세계여성병원,영업중,대구광역시 북구 동북로 196 (산격동),,35.89790015,128.6136499,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,09:00~12:30,09:00~12:30,"1,2,3,4,5",053-954-7771,2021-07-19
