가람대학약국,운영,대구광역시 북구 학정로109길 41,대구광역시 북구 학정동 527번지 E동 1층,35.95433183,128.5640972,0900~1800,0900~1800,0900~1800,0900~1800,0900~1800,,,,,053-326-7720,2021-07-19
가람약국,운영,대구광역시 북구 칠곡중앙대로 443,대구광역시 북구 관음동 1402-2번지(1층일부),35.93533551,128.5485517,0930~1830,0930~1830,0930~1830,0930~1830,0930~1830,0930~1300,,,,053-321-7273,2021-07-19
강남당약국,운영,"대구광역시 북구 신암로 99, 1층 (대현동)",,35.87990804,128.6104767,0900~1900,0900~1900,0900~1900,0900~1900,0900~1900,0900~1400,,0900~1400,,053-941-2669,2021-07-19
강북동산약국,운영,"대구광역시 북구 팔거천동로 223, 수정빌딩 103호 (동천동)",대구광역시 북구 동천동 951-2번지(103호),35.94397331,128.5579268,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~1600,,,,053-313-3809,2021-07-19
강북약국,운영,"대구광역시 북구 칠곡중앙대로 450, 1층 101호 (읍내동)",대구광역시 북구 읍내동 1341번지(1층일부),35.93515877,128.54912,0800~2200,0800~2200,0800~2200,0800~2200,0800~2200,0800~2200,1400~2200,0800~2200,"1,2,3,4,5",053-323-8736,2021-07-19
강북조은약국,운영,"대구광역시 북구 학정동로 45, 1층 (학정동)",대구광역시 북구 학정동 976-1,35.94785701,128.5672235,0900~1915,0900~1915,0900~1915,0900~1915,0900~1915,0900~1415,,,,053-326-2929,2021-07-19
건강드림약국,운영,대구광역시 북구 대천로 93,대구광역시 북구 동천동 931-5,35.93709007,128.559485,0900~1930,0900~1930,0900~1930,0900~1930,0900~1930,0830~1300,,,,053-325-7012,2021-07-19
건강백세약국,운영,대구광역시 북구 동북로 146,대구광역시 북구 산격4동 1207-43,35.90011336,128.6088083,0900~1900,0900~1900,0900~1900,0900~1900,0900~1900,0900~1300,,,,053-942-5252,2021-07-19
건강약국,운영,"대구광역시 북구 오봉로 136, (침산동)",대구광역시 북구 침산1동 1035-3,35.89982822,128.5795718,0800~1730,0800~1730,0800~1730,0800~1730,0800~1730,0800~1700,,0800~1700,,053-358-1672,2021-07-19
건강한약국,운영,대구광역시 북구 구암로 146,대구광역시 북구 구암동 649-4번지,35.93152088,128.5564417,0900~2200,0900~2200,0900~2200,0900~2200,0900~2200,0900~2200,,0900~2200,,053-321-6233,2021-07-19
검단약국,운영,대구광역시 북구 검단동로4길 10,대구광역시 북구 검단동 1266-22,35.91337018,128.6267914,0900~1830,0900~1830,0900~1830,0900~1830,0900~1830,0900~1600,,,,053-381-9275,2021-07-19
경북정문약국,운영,대구광역시 북구 학정로 551-20,대구광역시 북구 학정동 369번지 1층일부,35.9544774,128.5650976,0900~1830,0900~1830,0900~1830,0900~1830,0900~1830,,,,,053-311-2430,2021-07-19
고운약국,운영,"대구광역시 북구 노원로 74, 1층 (노원동3가)",,35.89383243,128.5701985,0900~1800,0900~1800,0900~1800,0900~1800,0900~1800,0900~1300,,,,053-359-3852,2021-07-19
구주약국,운영,대구광역시 북구 구암로15길 22 (읍내동),대구광역시 북구 읍내동 1346,35.93451319,128.5497693,0900~1730,0900~1730,0900~1730,0900~1730,0900~1730,0900~1300,,,,053-312-8623,2021-07-19
