취급품목,시장유형,홈페이지주소,시장명,전화번호,주차장보유여부,소재지지번주소,개설년도,시장개설주기,경도,점포수,소재지도로명주소,위도,공중화장실보유여부,데이터기준일자,사용가능상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,번개시장,053-427-7098,Y,대구광역시 중구 태평로1가 1-152,1988,매일,128.5981284,130,대구광역시 중구 태평로 177-3,35.87508721,Y,2018-08-20,온누리상품권+전자상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,칠성진시장,,N,대구광역시 북구 칠성동1가 96-2,2012,매일,128.6040801,130,대구광역시 북구 칠성시장로 19,35.87571533,N,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,복현전통신시장,,N,대구광역시 북구 복현동 457-8,2011,매일,128.6192009,56,대구광역시 북구 경진로1길 68,35.89328599,N,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,동대구신시장,053-939-7721,N,대구광역시 북구 대현동 272,2010,매일,128.6103712,105,대구광역시 북구 대현남로10길 46,35.88157809,N,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,구암시장,053-322-8260,N,대구광역시 북구 구암동 693,2010,매일,128.5541577,30,대구광역시 북구 태암남로11길 18,35.92661076,N,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,관음시장,053-321-6740,N,대구광역시 북구 관음동 1284,2009,매일,128.5472253,52,대구광역시 북구 관음중앙로28길 1,35.94493032,N,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,서변중앙시장,053-953-0599,N,대구광역시 북구 서변동 1746-3,2009,매일,128.5962056,57,대구광역시 북구 호국로43길 28-4,35.9213164,Y,2018-08-20,온누리상품권
"의류,잡화",상설장,,칠성원시장,053-426-7030,N,대구광역시 북구 칠성1가 81,2007,매일,128.6036006,145,대구광역시 북구 칠성시장로5길 22,35.87527609,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,중앙시장,053-312-7212,Y,대구광역시 북구 태전동 156-1,2007,매일,128.5449149,36,대구광역시 북구 태전로 15,35.92166889,Y,2018-08-20,온누리상품권
농산물,상설장,,대구청과시장,053-424-1331,Y,대구광역시 북구 칠성1가 276-102,2005,매일,128.603913,107,대구광역시 북구 칠성시장로 34,35.8770321,Y,2018-08-20,온누리상품권
농산물,상설장,,대구능금시장,053-424-8510,N,대구광역시 북구 칠성1가 234-9,2008,매일,128.6019759,139,대구광역시 북구 칠성남로 197-15,35.87715901,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,칠곡시장,053-321-8070,Y,대구광역시 북구 읍내동 1201-1외 3필,2014,매일,128.5755759,62,대구광역시 북구 칠곡중앙대로 528,35.91254835,Y,2018-08-20,온누리상품권
"의류,잡화",상설장,,동대구시장,053-952-1223,Y,대구광역시 북구 대현2동 390,1969,매일,128.6089392,73,대구광역시 북구 대현로20길 30,35.88115274,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,산격종합시장,053-951-8596,Y,대구광역시 북구 산격동 1258,1981,매일,128.6103584,216,대구광역시 북구 대동로1길 34,35.89864012,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,복현종합시장,,N,대구광역시 북구 복현1동 462,1983,매일,128.619795,265,대구광역시 북구 경진로1길 78,35.89276917,Y,2018-08-20,온누리상품권
잡화,상설장,,대성시장,053-425-8544,N,대구광역시 북구 칠성2가 302-95,1976,매일,128.6009074,19,대구광역시 북구 공평로135,35.87645233,N,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,http://www.paldal.org,팔달신시장,053-357-4953,Y,대구광역시 북구 노원3가 750,1976,매일,128.5659579,650,대구광역시 북구 팔달로33길 59,35.89068311,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,팔달시장,053-357-8715,N,대구광역시 북구 노원2가 375,1969,매일,128.570853,120,대구광역시 북구 팔달로37길 11,35.88904652,Y,2018-08-20,온누리상품권
생선류,상설장,,경명시장,053-423-9217,Y,대구광역시 북구 칠성1가 99-5,1972,매일,128.604209,47,대구광역시 북구 칠성시장로3길 10-22,35.87519191,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,삼성시장,053-425-4073,Y,대구광역시 북구 칠성1가 276-108,1976,매일,128.6034872,70,대구광역시 북구 칠성시장로 42,35.87783642,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,http://www.chilseongmarket.co.kr,칠성시장,053-423-3480,Y,대구광역시 북구 칠성1가 276-165,1974,매일,128.6042971,338,대구광역시 북구 칠성시장로 26,35.87657049,Y,2018-08-20,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,번개시장,053-427-7098,Y,대구광역시 중구 태평로1가 1-152,1988,매일,128.598307,130,대구광역시 중구 태평로 177-3,35.875076,Y,2018-08-08,온누리상품권+전자상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,http://www.chilseongmarket.co.kr,칠성시장,053-423-3480,Y,대구광역시 북구 칠성1가 276-165,1974,매일,128.604900,338,대구광역시 북구 칠성시장로 26,35.876380,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,삼성시장,053-425-4073,Y,대구광역시 북구 칠성1가 276-108,1976,매일,128.603500,70,대구광역시 북구 칠성시장로 42,35.877840,Y,2018-06-18,온누리상품권
생선류,상설장,,경명시장,053-423-9217,Y,대구광역시 북구 칠성1가 99-5,1972,매일,128.604000,47,대구광역시 북구 칠성시장로3길 10-22,35.875700,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,팔달시장,053-357-8715,N,대구광역시 북구 노원2가 375,1969,매일,128.571400,120,대구광역시 북구 팔달로37길 11,35.888790,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,http://www.paldal.org,팔달신시장,053-357-4953,Y,대구광역시 북구 노원3가 750,1976,매일,128.570400,650,대구광역시 북구 팔달로33길 59,35.889690,Y,2018-06-18,온누리상품권
잡화,상설장,,대성시장,053-425-8544,N,대구광역시 북구 칠성2가 302-95,1976,매일,128.601000,19,대구광역시 북구 공평로135,35.876410,N,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,복현종합시장,,N,대구광역시 북구 복현1동 462,1983,매일,128.625300,265,대구광역시 북구 경진로1길 78,35.892800,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,산격종합시장,053-951-8596,Y,대구광역시 북구 산격동 1258,1981,매일,128.610700,216,대구광역시 북구 대동로1길 34,35.895851,Y,2018-06-18,온누리상품권
"의류,잡화",상설장,,동대구시장,053-952-1223,Y,대구광역시 북구 대현2동 390,1969,매일,128.608900,73,대구광역시 북구 대현로20길 30,35.881240,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,칠곡시장,053-321-8070,Y,대구광역시 북구 읍내동 1201-1외 3필,2014,매일,128.551500,62,대구광역시 북구 칠곡중앙대로 528,35.946050,Y,2018-06-18,온누리상품권
농산물,상설장,,대구능금시장,053-424-8510,N,대구광역시 북구 칠성1가 234-9,2008,매일,128.602400,139,대구광역시 북구 칠성남로 197-15,35.876180,Y,2018-06-18,온누리상품권
농산물,상설장,,대구청과시장,053-424-1331,Y,대구광역시 북구 칠성1가 276-102,2005,매일,128.604200,107,대구광역시 북구 칠성시장로 34,35.877020,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,중앙시장,053-312-7212,Y,대구광역시 북구 태전동 156-1,2007,매일,128.545900,36,대구광역시 북구 태전로 15,35.921450,Y,2018-06-18,온누리상품권
"의류,잡화",상설장,,칠성원시장,053-426-7030,N,대구광역시 북구 칠성1가 81,2007,매일,128.603300,145,대구광역시 북구 칠성시장로5길 22,35.875580,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,서변중앙시장,053-953-0599,N,대구광역시 북구 서변동 1746-3,2009,매일,128.596300,57,대구광역시 북구 호국로43길 28-4,35.920940,Y,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,관음시장,053-321-6740,N,대구광역시 북구 관음동 1284,2009,매일,128.547300,52,대구광역시 북구 관음중앙로28길 1,35.943960,N,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,구암시장,053-322-8260,N,대구광역시 북구 구암동 693,2010,매일,128.554100,30,대구광역시 북구 태암남로11길 18,35.926170,N,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,동대구신시장,053-939-7721,N,대구광역시 북구 대현동 272,2010,매일,128.608900,105,대구광역시 북구 대현남로10길 46,35.881240,N,2018-06-18,온누리상품권
